Iteration	AverageCost	StdCost	MinimumCost	MaximumCost	AverageReturn	StdReturn	MinimumReturn	MaximumReturn
0	134.60915750544666	38.15022904426008	53.199825388403234	184.56213622874472	-249.63410592583514	26.736982329469946	-283.24497494457137	-187.06691758725498
1	31.8473476634015	34.64242695042643	-41.96818867182807	84.52648957425812	-163.93305361451775	19.152511098953397	-190.9568519405118	-121.51933333686588
2	-59.91482438594321	59.14850501998611	-130.88402495404472	68.41804339617599	34.180376388420825	19.95355655671854	-2.5759676526766064	68.26566059712103
3	-200.04479494429398	75.20652510746135	-315.77115006651167	-95.98263606356757	192.91297421398298	21.760757853587197	159.06482725667107	225.72743843330318
4	-343.0578679665569	59.010135388586214	-416.64472109487906	-228.94159068385224	250.82779520456884	25.128386898272222	211.20126810683587	296.8902813528304
5	-541.6026240275435	32.20258622031649	-605.5412647254931	-499.646972050712	377.65686962525393	29.80897783355736	339.1302058784669	426.8863769746661
6	-560.7602469353058	49.18016717273816	-621.1798980474849	-464.9815781179209	586.3849486609479	45.63019623117646	492.2751253494346	676.6166491425589
7	-639.3746713155434	55.97093210332125	-724.1149834844592	-507.555965784475	496.5199240437813	47.95060104203477	429.51498479464107	594.8291891807993
8	-769.8784276562621	27.908161960311833	-837.1983365501668	-733.2744449206116	647.7329919563219	33.40802024263901	596.743261989235	723.603174326205
9	-773.8998009771886	73.91150550364749	-849.6212697993611	-603.6363159760867	648.3910094349342	43.81487089794715	583.6054952870048	731.6672929818324
